pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f
MMR222,Shan,MMR015D005,Laukkaing,MMR015023,Konkyan,9665,8538,1127
MMR222,Shan,MMR015D006,Hopang,MMR015021,Hopang,11216,9348,1868
MMR222,Shan,MMR015D006,Hopang,MMR015008,Mongmao,10445,9519,926
MMR222,Shan,MMR015D006,Hopang,MMR015007,Pangwaun,13969,12929,1040
MMR222,Shan,MMR015D007,Matman,MMR015024,Matman,3318,2996,322
MMR222,Shan,MMR015D007,Matman,MMR015005,Pangsang,16457,14677,1780
MMR222,Shan,MMR015D007,Matman,MMR015006,Narphan,16474,15088,1386
MMR222,Shan,MMR016D001,Kengtung,MMR016001,Kengtung,34096,27731,6365
MMR222,Shan,MMR016D001,Kengtung,MMR016002,Mongkhet,8025,7253,772
MMR222,Shan,MMR016D001,Kengtung,MMR016003,Mongyang,19404,17610,1794
MMR222,Shan,MMR016D001,Kengtung,MMR016005,Mongla,5208,4734,474
MMR222,Shan,MMR016D002,Monghsat,MMR016006,Monghsat,19111,16800,2311
MMR222,Shan,MMR016D002,Monghsat,MMR016007,Mongping,13299,11353,1946
MMR222,Shan,MMR016D002,Monghsat,MMR016008,Mongton,12521,10924,1597
MMR222,Shan,MMR016D003,Tachileik,MMR016009,Tachileik,37673,29596,8077
MMR222,Shan,MMR016D004,Monghpyak,MMR016010,Monghpyak,6165,5207,958
MMR222,Shan,MMR016D004,Monghpyak,MMR016011,Mongyawng,17196,15505,1691
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017002,Kangyidaunt,42966,35963,7003
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017007,Kyaunggon,41402,33801,7601
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017005,Kyonpyaw,59488,48369,11119
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,76652,65273,11379
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,85687,68002,17685
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017006,Yegyi,50715,41174,9541
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017003,Thabaung,37237,30467,6770
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017025,Kyaiklat,43748,35568,8180
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017026,Dedaye,48610,37330,11280
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017023,Pyapon,69416,56376,13040
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,75987,62176,13811
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017021,Nyaungdon,51201,41396,9805
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017022,Danubyu,44797,35317,9480
