pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,idcard_10ab_t,idcard_10ab_citi_t,idcard_10ab_assc_t,idcard_10ab_natu_t,idcard_10ab_natreg_t,idcard_10ab_relig_t,idcard_10ab_temp_t,idcard_10ab_forreg_t,idcard_10ab_forpp_t,idcard_10ab_non_t,idcard_10ab_u_t,idcard_10ab_citi_u_t,idcard_10ab_assc_u_t,idcard_10ab_natu_u_t,idcard_10ab_natreg_u_t,idcard_10ab_relig_u_t,idcard_10ab_temp_u_t,idcard_10ab_forreg_u_t,idcard_10ab_forpp_u_t,idcard_10ab_non_u_t,idcard_10ab_r_t,idcard_10ab_citi_r_t,idcard_10ab_assc_r_t,idcard_10ab_natu_r_t,idcard_10ab_natreg_r_t,idcard_10ab_relig_r_t,idcard_10ab_temp_r_t,idcard_10ab_forreg_r_t,idcard_10ab_forpp_r_t,idcard_10ab_non_r_t
MMR005,Sagaing,MMR005D004,Katha,MMR005021,Indaw,23230,15967,7263,116826,3440,94981,79532,42,127,269,483,140,3,13,14372,7247,6533,17,23,27,23,1,3,1,619,87734,72999,25,104,242,460,139,0,12,13753
MMR005,Sagaing,MMR005D004,Katha,MMR005022,Tigyaing,26389,19327,7062,123429,6526,104649,76279,43,56,103,471,779,3,55,26860,11269,9423,7,11,11,89,19,0,2,1707,93380,66856,36,45,92,382,760,3,53,25153
MMR005,Sagaing,MMR005D004,Katha,MMR005023,Banmauk,18868,14113,4755,102383,10285,86674,62868,27,118,460,405,154,1,10,22631,5071,4352,1,6,9,18,1,1,1,682,81603,58516,26,112,451,387,153,0,9,21949
MMR005,Sagaing,MMR005D004,Katha,MMR005024,Kawlin,31403,23582,7821,140228,5069,120575,89098,126,116,282,637,328,6,17,29965,18361,15454,98,53,33,144,81,6,2,2490,102214,73644,28,63,249,493,247,0,15,27475
MMR005,Sagaing,MMR005D004,Katha,MMR005025,Wuntho,14205,10566,3639,69442,3953,58779,46617,27,18,64,568,128,3,12,11342,10106,8579,4,1,5,266,8,2,1,1240,48673,38038,23,17,59,302,120,1,11,10102
MMR005,Sagaing,MMR005D004,Katha,MMR005026,Pinlebu,21900,14545,7355,109289,2679,87808,62216,19,100,212,530,183,1,10,24537,5900,4902,4,3,5,60,7,0,2,917,81908,57314,15,97,207,470,176,1,8,23620
MMR005,Sagaing,MMR005D005,Kale,MMR005027,Kale,72769,54409,18360,339302,9271,279101,196618,90,187,750,786,287,7,118,80258,106983,77949,58,91,209,402,66,1,83,28124,172118,118669,32,96,541,384,221,6,35,52134
MMR005,Sagaing,MMR005D005,Kale,MMR005028,Kalewa,11735,9101,2634,54744,1688,45778,37675,9,35,37,215,92,1,4,7710,7456,6199,3,18,9,64,23,1,0,1139,38322,31476,6,17,28,151,69,0,4,6571
MMR005,Sagaing,MMR005D005,Kale,MMR005029,Mingin,22058,17036,5022,102299,2064,83577,63801,11,67,501,364,129,5,7,18692,2930,2412,0,3,5,57,35,4,0,414,80647,61389,11,64,496,307,94,1,7,18278
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,22591,17913,4678,111986,2883,87399,71432,436,44,139,237,90,3,26,14992,46623,38132,424,24,56,157,29,1,17,7783,40776,33300,12,20,83,80,61,2,9,7209
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005031,Mawlaik,10345,7911,2434,49782,1532,40741,32755,14,61,92,161,111,0,11,7536,7148,5991,6,14,23,32,23,0,4,1055,33593,26764,8,47,69,129,88,0,7,6481
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005032,Paungbyin,20246,15528,4718,110354,2340,85425,63286,24,40,256,429,346,0,23,21021,8019,6402,9,7,19,47,5,0,0,1530,77406,56884,15,33,237,382,341,0,23,19491
MMR005,Sagaing,MMR005D008,Hkamti,MMR005033,Hkamti,7361,5646,1715,37049,10609,38216,26978,31,118,91,116,133,2,10,10737,9508,7601,2,32,27,48,7,0,2,1789,28708,19377,29,86,64,68,126,2,8,8948
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,35743,26614,9129,198477,59729,197387,110935,94,301,1957,721,1008,44,71,82256,17272,12643,2,16,92,92,67,0,4,4356,180115,98292,92,285,1865,629,941,44,67,77900
MMR005,Sagaing,MMR005D008,Hkamti,MMR005035,Lay Shi,1966,1590,376,9742,749,7424,5735,9,12,51,11,8,2,1,1595,2010,1704,0,2,3,7,0,0,0,294,5414,4031,9,10,48,4,8,2,1,1301
MMR005,Sagaing,MMR005D008,Hkamti,MMR005036,Lahe,8932,7830,1102,53424,933,38935,18320,11,43,73,27,24,2,14,20421,4217,3191,2,14,5,3,3,0,0,999,34718,15129,9,29,68,24,21,2,14,19422
MMR005,Sagaing,MMR005D008,Hkamti,MMR005037,Nanyun,7840,6856,984,49820,2160,37330,19600,15,13,58,8,35,0,10,17591,4682,3776,4,0,6,5,7,0,1,883,32648,15824,11,13,52,3,28,0,9,16708
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005016,Yinmabin,29532,23154,6378,139808,1672,117263,94445,35,177,1048,583,92,1,31,20851,4119,3458,0,61,21,19,5,0,0,555,113144,90987,35,116,1027,564,87,1,31,20296
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005018,Salingyi,26467,19445,7022,116837,4971,102450,72247,17,159,3863,491,88,0,488,25097,4717,3929,0,6,85,35,13,0,0,649,97733,68318,17,153,3778,456,75,0,488,24448
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005019,Pale,32362,24142,8220,140339,3667,117974,91798,20,111,569,565,46,1,13,24851,3562,3150,1,4,15,22,0,0,0,370,114412,88648,19,107,554,543,46,1,13,24481
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005017,Kani,29223,21790,7433,131237,3304,109750,77831,35,196,1520,466,127,0,23,29552,4163,3699,0,1,26,51,12,0,0,374,105587,74132,35,195,1494,415,115,0,23,29178
