pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,usuact_10ab_t,usuact_10ab_govemp_t,usuact_10ab_priemp_t,usuact_10ab_empyr_t,usuact_10ab_ownacc_t,usuact_10ab_unpfam_t,usuact_10ab_seekw_t,usuact_10ab_nseekw_t,usuact_10ab_stu_t,usuact_10ab_hhwork_t,usuact_10ab_retir_t,usuact_10ab_ill_t,usuact_10ab_oth_t
MMR009,Magway,MMR009D001,Magway,MMR009004,Taungdwingyi,214274,6482,21355,5690,54381,39267,3577,486,28713,33951,13156,1476,5740
MMR009,Magway,MMR009D001,Magway,MMR009005,Myothit,127391,2669,14185,12558,24245,23334,1850,143,17964,20664,7114,978,1687
MMR009,Magway,MMR009D001,Magway,MMR009006,Natmauk,167928,2826,14257,18922,37179,35432,2535,205,23240,18959,9926,1394,3053
MMR009,Magway,MMR009D002,Minbu,MMR009007,Minbu,156773,7557,29808,3330,34075,14742,3426,373,20648,26801,10261,1118,4634
MMR009,Magway,MMR009D002,Minbu,MMR009008,Pwintbyu,134991,4197,34988,6962,31599,18038,618,54,15853,13892,5970,971,1849
MMR009,Magway,MMR009D002,Minbu,MMR009009,Ngape,41535,2231,2935,415,13285,5184,640,84,5098,7946,2708,222,787
MMR009,Magway,MMR009D002,Minbu,MMR009010,Salin,195173,3844,35917,6634,47551,32464,2622,278,25287,25089,10067,1351,4069
MMR009,Magway,MMR009D002,Minbu,MMR009011,Sidoktaya,38440,1941,2828,198,13790,6536,363,31,4272,4934,2450,334,763
MMR009,Magway,MMR009D003,Thayet,MMR009012,Thayet,89349,4695,5684,829,28985,13275,1847,146,8816,11868,7235,636,5333
MMR009,Magway,MMR009D003,Thayet,MMR009013,Minhla,123158,6504,14113,1884,39369,18190,2112,249,12692,16701,8296,611,2437
MMR009,Magway,MMR009D003,Thayet,MMR009014,Mindon,50822,1286,2714,370,18796,12800,585,42,4542,3393,5018,460,816
MMR009,Magway,MMR009D003,Thayet,MMR009015,Kamma,64388,1296,7381,1494,22757,9516,793,100,5780,7845,4801,506,2119
MMR009,Magway,MMR009D003,Thayet,MMR009016,Aunglan,196711,4815,31641,4481,50500,24591,2858,370,21201,33152,14323,1495,7284
MMR009,Magway,MMR009D003,Thayet,MMR009017,Sinbaungwe,97278,3643,12921,2251,21681,17613,1631,111,10444,17346,6256,843,2538
MMR009,Magway,MMR009D004,Pakokku,MMR009018,Pakokku,240494,13478,48347,6112,44771,19177,5680,800,38233,38236,17006,2666,5988
MMR009,Magway,MMR009D004,Pakokku,MMR009019,Yesagyo,176771,3808,23283,3473,47203,27354,3791,541,26011,22841,12064,1654,4748
MMR009,Magway,MMR009D004,Pakokku,MMR009020,Myaing,183243,3350,24697,1727,40380,19485,6200,597,26713,39260,14065,1865,4904
MMR009,Magway,MMR009D004,Pakokku,MMR009021,Pauk,135490,3171,16725,1406,28396,16697,5057,420,21336,28745,8814,1517,3206
MMR009,Magway,MMR009D004,Pakokku,MMR009022,Seikphyu,82030,4144,7984,987,16655,10000,2073,137,13309,18636,4784,613,2708
MMR009,Magway,MMR009D005,Gangaw,MMR009023,Gangaw,110887,4540,12980,1802,31626,15157,2760,291,15010,16899,6769,1248,1805
MMR009,Magway,MMR009D005,Gangaw,MMR009024,Tilin,41579,1445,2016,441,9788,14346,765,31,4684,3579,3448,464,572
MMR009,Magway,MMR009D005,Gangaw,MMR009025,Saw,57841,2142,5206,422,19233,11805,1270,43,7075,5161,4330,608,546
MMR010,Mandalay,MMR010D001,Mandalay,MMR010001,Aungmyaythazan,231195,12932,62199,5562,39767,8284,3715,893,32290,37068,14140,1248,13097
MMR010,Mandalay,MMR010D001,Mandalay,MMR010002,Chanayethazan,176731,9593,46694,5101,30514,5821,3076,628,26245,28437,10873,829,8920
MMR010,Mandalay,MMR010D001,Mandalay,MMR010003,Mahaaungmyay,210686,7838,51366,5278,40679,6249,4475,1167,30508,38684,11806,1194,11442
MMR010,Mandalay,MMR010D001,Mandalay,MMR010004,Chanmyathazi,241625,9067,67472,4836,42642,9104,4684,842,35211,44145,15294,1439,6889
MMR010,Mandalay,MMR010D001,Mandalay,MMR010005,Pyigyitagon,198249,4548,71727,5166,25806,4300,3033,686,26170,37022,10382,1037,8372
MMR010,Mandalay,MMR010D001,Mandalay,MMR010006,Amarapura,199037,6878,61984,4388,35073,7662,2354,604,23913,31090,12659,1428,11004
MMR010,Mandalay,MMR010D001,Mandalay,MMR010007,Patheingyi,215214,7964,71296,5637,35155,7731,2346,671,25333,34871,11473,1196,11541
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010008,Pyinoolwin,215958,18456,42548,3754,43850,17973,2900,861,32396,32768,11607,1056,7789
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010009,Madaya,210153,3499,52931,4145,45665,19060,3649,589,24019,38710,11693,1394,4799
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010010,Singu,127908,2000,22665,1668,27356,12572,3600,399,15740,28760,7571,687,4890
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010011,Mogoke,136984,2034,25622,1282,34408,6628,4034,535,24705,24062,8900,975,3799
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010012,Thabeikkyin,128310,3187,29091,2544,26889,12215,2263,473,17293,25492,4774,585,3504
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010013,Kyaukse,213108,8838,52678,5456,37904,10987,5363,681,25636,47679,11597,1091,5198
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010014,Sintgaing,124198,4864,35536,2566,23259,4883,1753,251,13387,24356,8207,706,4430
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010015,Myittha,161661,4627,39745,5460,31113,12803,2403,419,19451,32250,9358,1081,2951
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010016,Tada-U,115235,2585,14862,1509,32750,10159,2139,322,12699,26646,8054,772,2738
MMR010,Mandalay,MMR010D004,Myingyan,MMR010017,Myingyan,233481,5423,51689,7854,50022,24776,5114,792,30559,31971,16186,1966,7129
MMR010,Mandalay,MMR010D004,Myingyan,MMR010018,Taungtha,178289,4775,24553,2567,39868,16887,4427,508,28665,38016,11877,1477,4669
MMR010,Mandalay,MMR010D004,Myingyan,MMR010019,Natogyi,148260,2499,19044,2993,36684,11225,4878,347,17831,37108,10475,1372,3804
MMR010,Mandalay,MMR010D004,Myingyan,MMR010020,Kyaukpadaung,215467,5230,29187,3338,51144,34716,3616,378,31011,33648,14790,1437,6972
MMR010,Mandalay,MMR010D004,Myingyan,MMR010021,Ngazun,103789,1723,11998,1711,33140,13531,1559,197,11856,17413,7622,813,2226
MMR010,Mandalay,MMR010D005,Nyaung-U,MMR010022,Nyaung-U,201512,5190,38907,2830,43266,20875,3483,467,26957,36287,11608,1612,10030
MMR010,Mandalay,MMR010D006,Yamethin,MMR010023,Yamethin,214920,5218,27228,3863,60369,29661,3889,414,27127,39904,12877,1503,2867
MMR010,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,213969,3982,29959,3267,62311,26125,3627,452,28149,36895,13396,1347,4459
MMR010,Mandalay,MMR010D007,Meiktila,MMR010028,Meiktila,257116,19676,39208,5410,50721,15646,5534,1369,41320,52532,19135,1785,4780
MMR010,Mandalay,MMR010D007,Meiktila,MMR010029,Mahlaing,115335,2368,17051,2727,24644,20340,2384,353,14495,19169,7881,1121,2802
MMR010,Mandalay,MMR010D007,Meiktila,MMR010030,Thazi,164266,7002,24519,2949,38112,18005,4652,563,21521,31875,9609,1196,4263
MMR010,Mandalay,MMR010D007,Meiktila,MMR010031,Wundwin,193784,3206,39318,4959,49494,26700,2050,324,20833,27840,13806,1230,4024
MMR011,Mon,MMR011D001,Mawlamyine,MMR011001,Mawlamyine,242927,12815,43276,4239,44739,10881,6472,1016,37297,49261,16650,2418,13863
MMR011,Mon,MMR011D001,Mawlamyine,MMR011002,Kyaikmaraw,150644,2401,21678,3115,26282,8611,5626,970,21328,37226,7842,1732,13833
MMR011,Mon,MMR011D001,Mawlamyine,MMR011003,Chaungzon,98998,2590,16473,2429,13256,4203,5458,685,13549,26447,6669,1291,5948
MMR011,Mon,MMR011D001,Mawlamyine,MMR011004,Thanbyuzayat,137308,3149,36616,3897,32630,20424,3493,381,18507,6160,6768,1717,3566
MMR011,Mon,MMR011D001,Mawlamyine,MMR011005,Mudon,156277,4457,33360,6134,26272,7414,7229,1650,18931,33301,9124,1833,6572
MMR011,Mon,MMR011D001,Mawlamyine,MMR011006,Ye,209626,4632,31638,4069,45648,10185,7865,2777,29780,50356,11454,2321,8901
MMR011,Mon,MMR011D002,Thaton,MMR011007,Thaton,187930,6470,33443,4529,29098,7922,5407,1445,28310,41846,11275,2004,16181
MMR011,Mon,MMR011D002,Thaton,MMR011008,Paung,172975,3739,25035,5215,23621,7477,6835,1756,25627,45177,10860,2038,15595
MMR011,Mon,MMR011D002,Thaton,MMR011009,Kyaikto,146234,5250,29066,3150,31649,7088,2631,603,21757,28062,8232,1155,7591
MMR011,Mon,MMR011D002,Thaton,MMR011010,Bilin,142099,3545,21982,3424,28196,10074,3475,529,21619,28415,7537,1276,12027
MMR012,Rakhine,MMR012D001,Sittwe,MMR012001,Sittwe,124375,11367,16227,2628,18734,3559,6340,1419,21406,27861,7451,691,6692
