pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,popdisab_notdisab_t,popdisab_anydiab_t,disabtype_see_t,disabtype_hear_t,disabtype_walk_t,disabtype_rmbr_t,popdisab_notdisab_m,popdisab_anydiab_m,disabtype_see_m,disabtype_hear_m,disabtype_walk_m,disabtype_rmbr_m,popdisab_notdisab_f,popdisab_anydiab_f,disabtype_see_f,disabtype_hear_f,disabtype_walk_f,disabtype_rmbr_f
MMR005,Sagaing,MMR005D008,Hkamti,MMR005036,Lahe,8932,7830,1102,53424,933,52135,2222,693,963,907,1264,25901,1124,340,512,433,602,26234,1098,353,451,474,662
MMR005,Sagaing,MMR005D008,Hkamti,MMR005037,Nanyun,7840,6856,984,49820,2160,50143,1837,661,956,980,1128,25757,926,331,472,471,532,24386,911,330,484,509,596
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005016,Yinmabin,29532,23154,6378,139808,1672,137765,3715,1468,988,1859,1376,64276,1698,588,382,894,572,73489,2017,880,606,965,804
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005018,Salingyi,26467,19445,7022,116837,4971,117606,4202,2242,1116,1824,1227,53939,1790,926,407,779,533,63667,2412,1316,709,1045,694
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005019,Pale,32362,24142,8220,140339,3667,138956,5050,2511,1287,1994,1466,64500,2309,1071,553,898,663,74456,2741,1440,734,1096,803
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005017,Kani,29223,21790,7433,131237,3304,128168,6373,3129,1787,2969,2487,59650,2815,1305,722,1303,1088,68518,3558,1824,1065,1666,1399
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,29133,17496,11637,135996,10968,138419,8545,5006,2434,3384,3179,66959,3694,1986,1011,1429,1387,71460,4851,3020,1423,1955,1792
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006002,Launglon,25735,17231,8504,114977,3340,111594,6723,3268,2087,2672,2729,52639,2919,1282,913,1155,1161,58955,3804,1986,1174,1517,1568
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006003,Thayetchaung,22874,10281,12593,103182,2480,95852,9810,5797,3194,4335,4117,46275,4146,2226,1359,1865,1703,49577,5664,3571,1835,2470,2414
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006004,Yebyu,26350,19510,6840,115860,6773,115720,6913,3619,2112,2566,2166,59025,3416,1723,1047,1255,1024,56695,3497,1896,1065,1311,1142
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006005,Myeik,54349,43414,10935,273637,10852,269488,15001,8721,4204,5983,4949,132697,6895,3758,1909,2743,2199,136791,8106,4963,2295,3240,2750
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006006,Kyunsu,32988,27672,5316,168531,3222,156090,15663,9086,4547,5695,5644,80140,7637,4113,2279,2905,2575,75950,8026,4973,2268,2790,3069
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006007,Palaw,25653,19741,5912,127925,2067,117334,12658,7721,3421,4783,4525,57816,5669,3169,1526,2201,2034,59518,6989,4552,1895,2582,2491
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006008,Tanintharyi,19929,11956,7973,102805,4048,94523,12330,7258,3255,4919,6088,48939,5878,3173,1609,2363,2818,45584,6452,4085,1646,2556,3270
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006009,Kawthoung,30346,20967,9379,133526,6494,134299,5721,3513,1335,1887,1520,69332,2831,1638,640,949,691,64967,2890,1875,695,938,829
